,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality
118,Malta,15.614848484848483,68.53411764705882,8.558484848484849,2.87,3.633125,2.4367647058823527,2.0040625,1.36125,1.0741176470588236,1.2644117647058823,2.3915625,2.570588235294118,10.068125,7.876060606060605,14.65235294117647,2.7115151515151514,1.8496969696969696,2.5396969696969696,3.0263636363636364,2.0500000000000003,2.1493939393939394,1.5666666666666667,0.885,7.303529411764706,1.6190909090909091,2.3096969696969696,6.056666666666667,1.8007999999999997,26.68136363636364,6.08551724137931,2.1348275862068964,27.28142857142857,1.464705882352941,24202.82870967742,27780.010000000002,104.58088235294117,0.2975,36.70529411764706,61.216842105263154,22.983076923076922,10.72090909090909,374.01366666666667,8030.578148148147,77.58121212121212,45.025151515151514,90.99545454545455,118.97516129032257,834.1485,709.4473684210526,1536.7995238095239,1144.2384210526316,4099.30625,3334.705625,1421.67125,4.163030303030303,0.08823529411764706
119,Marshall Islands,15.2,44.0,12.0,9.0,4.5,2.58,2.0,1.5,2.35,2.8,1.6,2.64,17.13,7.25,15.0,6.9,2.0,2.42,2.0,2.42,2.0,3.16,2.0,12.5,2.0,2.63,10.0,2.0,100.0,1.5,1.5,30.0,1.55,12000.0,13000.0,533.33,0.25,71.67,26.67,20.0,9.0,,3250.0,47.0,45.0,49.5,63.5,1116.67,850.0,1716.67,1483.33,,,1050.0,,0.0
120,Martinique,10.54,68.49,10.41,6.32,0.52,3.86,2.77,3.16,1.16,2.55,2.21,3.85,23.5,11.73,22.66,3.42,1.41,2.37,4.52,1.98,2.15,1.43,0.64,6.32,1.67,2.24,11.33,1.53,46.89,4.0,1.96,40.04,1.68,22655.52,31591.28,101.86,,36.88,31.61,16.86,9.48,31.61,2370.93,105.37,26.34,136.99,199.16,656.83,658.9,1085.36,1123.99,2162.29,3382.0,2094.32,,0.0
121,Mauritania,5.58,27.01,6.95,2.78,2.78,2.44,3.44,1.65,1.38,0.42,1.28,2.39,8.09,6.36,6.57,2.04,1.88,1.45,0.95,0.73,0.72,0.62,0.71,11.11,2.78,,2.67,0.56,31.33,0.97,0.41,5.6,1.09,56.02,10046.68,101.31,0.95,90.4,43.7,,4.75,105.04,9105.94,22.63,14.71,43.35,21.23,280.67,150.23,643.61,350.35,362.93,226.57,517.4,13.0,0.0
122,Mauritius,5.725,27.490000000000002,4.125,1.82,2.8200000000000003,1.7750000000000001,0.98,0.5549999999999999,1.045,0.695,2.1950000000000003,1.8199999999999998,10.149999999999999,5.185,7.430000000000001,2.2,1.545,2.06,2.41,0.885,1.04,0.685,0.56,10.879999999999999,1.465,1.6949999999999998,5.04,0.79,17.23,3.44,2.29,11.45,1.135,23911.8,27215.78,46.01,0.05,32.79,27.49,3.82,6.015000000000001,164.28,3459.335,52.405,34.14,75.315,74.45500000000001,229.1,190.91,515.46,378.005,412.37,566.37,532.65,4.96,0.0
123,Mexico,6.740731707317074,26.99511904761905,6.059024390243903,1.8539506172839504,3.0777215189873415,2.3812048192771083,0.9134939759036146,0.6603614457831326,1.1528915662650603,1.7891358024691357,1.367375,1.8137037037037036,6.084050632911392,5.804936708860759,9.728205128205127,2.4986075949367086,1.126375,1.223875,1.30875,1.3878481012658228,1.2953164556962025,0.9202631578947368,0.8425925925925926,9.463896103896104,1.2237974683544304,2.0334177215189873,3.3241463414634143,0.5323684210526316,19.59867924528302,1.976265060240964,1.0111842105263158,8.454675324675325,1.102142857142857,17606.640555555558,18345.289444444446,55.312948717948714,0.09027027027027026,27.74940476190476,31.489210526315787,13.297910447761195,3.9004819277108433,191.01857142857142,3581.1695774647887,42.237874999999995,32.63506493506494,77.28925000000001,67.04240506329114,350.58486486486487,243.6735064935065,683.251282051282,517.9675324675325,1101.1673015873016,794.520625,630.1877777777778,10.916794871794872,0.21839080459770116
124,Moldova,2.7355555555555555,31.121666666666666,3.4177777777777774,0.923,1.233,0.968,0.666,0.434,0.7470000000000001,0.371,0.914,1.367,7.040000000000001,4.199,5.4239999999999995,0.629,1.251,1.307,1.248,0.449,0.406,0.85,0.524,2.128,0.754,1.012,2.175,0.21333333333333335,10.3375,0.975,0.17375000000000002,1.4855555555555557,1.182,15303.48,16621.43625,74.51500000000001,0.08125,8.696000000000002,19.490000000000002,9.29,3.82,181.61,3556.6675,47.52625,30.426250000000003,76.54875,78.64625000000001,173.55,113.535,299.1275,211.645,689.4033333333333,475.39000000000004,275.91333333333336,7.905,0.1
125,Monaco,26.34,158.06,9.48,7.38,8.43,4.54,4.95,5.85,1.84,3.95,3.34,3.13,14.75,10.54,15.81,1.76,2.11,1.93,3.69,1.58,2.46,1.4,2.03,13.7,2.11,3.51,10.54,2.11,37.93,3.16,1.79,84.3,1.93,21074.9,22128.65,184.18,,57.6,553.22,21.07,10.54,,16859.92,83.6,32.67,144.01,330.88,5490.31,3512.48,27397.38,10888.7,82192.13,57253.49,5589.37,1.88,0.0
126,Mongolia,3.52,17.52,3.9333333333333336,1.2233333333333334,1.6833333333333333,1.58,0.57,0.29,1.01,0.4833333333333334,1.0066666666666666,1.68,5.69,2.9933333333333336,4.21,2.0766666666666667,2.146666666666667,2.35,2.17,0.38999999999999996,0.9366666666666665,0.85,0.4166666666666667,5.283333333333333,0.7833333333333333,1.1266666666666667,1.465,0.06999999999999999,2.6666666666666665,0.29333333333333333,0.29333333333333333,4.26,0.7533333333333334,13697.429999999998,14529.06,52.47,0.02,11.55,35.833333333333336,7.433333333333334,2.7433333333333336,104.565,8414.14,31.095,21.77,56.135,58.945,183.60333333333332,118.32666666666667,385.00333333333333,256.8433333333333,1016.8199999999999,669.585,231.14499999999998,8.193333333333333,0.3333333333333333
127,Montenegro,6.944545454545454,27.587272727272726,4.359090909090909,2.299090909090909,2.059090909090909,1.5372727272727273,1.770909090909091,1.0136363636363637,0.9527272727272728,0.6690909090909091,1.3718181818181818,2.0945454545454543,5.738181818181818,4.943636363636364,6.844545454545454,1.0036363636363637,1.2654545454545454,1.0990909090909091,1.4172727272727272,0.6763636363636363,0.843,0.97375,0.6490909090909092,4.872727272727273,0.859090909090909,1.3154545454545454,3.9227272727272724,1.24,29.926,1.2027272727272729,0.9654545454545456,6.75875,1.5090909090909093,20337.283,22030.65,98.75818181818181,0.19363636363636363,25.66181818181818,30.64,9.29,4.549090909090909,163.2109090909091,8372.761428571428,45.30090909090909,30.579090909090908,74.68454545454546,106.50545454545454,368.9133333333333,263.5622222222222,678.3633333333332,537.76,1878.5288888888888,1302.5459999999998,603.0411111111111,5.084545454545455,0.18181818181818182
