Country Name,Country Code,Indicator Name,Indicator Code,2021
Latvia,LVA,"Population, total",SP.POP.TOTL,1884490
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,686607
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31948
Morocco,MAR,"Population, total",SP.POP.TOTL,37076584
Monaco,MCO,"Population, total",SP.POP.TOTL,36686
Moldova,MDA,"Population, total",SP.POP.TOTL,2615199
Madagascar,MDG,"Population, total",SP.POP.TOTL,28915653
Maldives,MDV,"Population, total",SP.POP.TOTL,521457
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,486167363
Mexico,MEX,"Population, total",SP.POP.TOTL,126705138
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,42050
Middle income,MIC,"Population, total",SP.POP.TOTL,5901323889
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2065092
Mali,MLI,"Population, total",SP.POP.TOTL,21904983
Malta,MLT,"Population, total",SP.POP.TOTL,518536
Myanmar,MMR,"Population, total",SP.POP.TOTL,53798084
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,418047201
Montenegro,MNE,"Population, total",SP.POP.TOTL,619211
Mongolia,MNG,"Population, total",SP.POP.TOTL,3347782
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,49481
Mozambique,MOZ,"Population, total",SP.POP.TOTL,32077072
Mauritania,MRT,"Population, total",SP.POP.TOTL,4614974
Mauritius,MUS,"Population, total",SP.POP.TOTL,1266060
Malawi,MWI,"Population, total",SP.POP.TOTL,19889742
Malaysia,MYS,"Population, total",SP.POP.TOTL,33573874
North America,NAC,"Population, total",SP.POP.TOTL,370203720
Namibia,NAM,"Population, total",SP.POP.TOTL,2530151
New Caledonia,NCL,"Population, total",SP.POP.TOTL,271030
Niger,NER,"Population, total",SP.POP.TOTL,25252722
Nigeria,NGA,"Population, total",SP.POP.TOTL,213401323
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6850540
Netherlands,NLD,"Population, total",SP.POP.TOTL,17533044
Norway,NOR,"Population, total",SP.POP.TOTL,5408320
Nepal,NPL,"Population, total",SP.POP.TOTL,30034989
Nauru,NRU,"Population, total",SP.POP.TOTL,12511
New Zealand,NZL,"Population, total",SP.POP.TOTL,5122600
OECD members,OED,"Population, total",SP.POP.TOTL,1372736513
Oman,OMN,"Population, total",SP.POP.TOTL,4520471
Other small states,OSS,"Population, total",SP.POP.TOTL,32708003
Pakistan,PAK,"Population, total",SP.POP.TOTL,231402117
Panama,PAN,"Population, total",SP.POP.TOTL,4351267
Peru,PER,"Population, total",SP.POP.TOTL,33715471
Philippines,PHL,"Population, total",SP.POP.TOTL,113880328
Palau,PLW,"Population, total",SP.POP.TOTL,18024
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9949437
Poland,POL,"Population, total",SP.POP.TOTL,37747124
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,1011043183
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3263584
North Korea,PRK,"Population, total",SP.POP.TOTL,25971909
Portugal,PRT,"Population, total",SP.POP.TOTL,10325147
Paraguay,PRY,"Population, total",SP.POP.TOTL,6703799
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4922749
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2602173
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1116796245
French Polynesia,PYF,"Population, total",SP.POP.TOTL,304032
Qatar,QAT,"Population, total",SP.POP.TOTL,2688235
Romania,ROU,"Population, total",SP.POP.TOTL,19119880
Russia,RUS,"Population, total",SP.POP.TOTL,143449286
Rwanda,RWA,"Population, total",SP.POP.TOTL,13461888
South Asia,SAS,"Population, total",SP.POP.TOTL,1901911604
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,35950396
Sudan,SDN,"Population, total",SP.POP.TOTL,45657202
Senegal,SEN,"Population, total",SP.POP.TOTL,16876720
Singapore,SGP,"Population, total",SP.POP.TOTL,5453566
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,707851
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8420641
El Salvador,SLV,"Population, total",SP.POP.TOTL,6314167
San Marino,SMR,"Population, total",SP.POP.TOTL,33745
Somalia,SOM,"Population, total",SP.POP.TOTL,17065581
Serbia,SRB,"Population, total",SP.POP.TOTL,6834326
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1181063481
South Sudan,SSD,"Population, total",SP.POP.TOTL,10748272
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1181162739
Small states,SST,"Population, total",SP.POP.TOTL,42792053
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,223107
Suriname,SUR,"Population, total",SP.POP.TOTL,612985
Slovakia,SVK,"Population, total",SP.POP.TOTL,5447247
Slovenia,SVN,"Population, total",SP.POP.TOTL,2108079
Sweden,SWE,"Population, total",SP.POP.TOTL,10415811
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1192271
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,42846
Seychelles,SYC,"Population, total",SP.POP.TOTL,99258
Syria,SYR,"Population, total",SP.POP.TOTL,21324367
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,45114
Chad,TCD,"Population, total",SP.POP.TOTL,17179740
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2097669023
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,462341222
Togo,TGO,"Population, total",SP.POP.TOTL,8644829
Thailand,THA,"Population, total",SP.POP.TOTL,71601103
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9750064
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6341855
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,639188695
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1320942
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,413124452
Tonga,TON,"Population, total",SP.POP.TOTL,106017
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1901911604
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1181162739
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1525663
Tunisia,TUN,"Population, total",SP.POP.TOTL,12262946
Turkey,TUR,"Population, total",SP.POP.TOTL,84775404
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11204
Tanzania,TZA,"Population, total",SP.POP.TOTL,63588334
Uganda,UGA,"Population, total",SP.POP.TOTL,45853778
Ukraine,UKR,"Population, total",SP.POP.TOTL,43792855
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2503136362
Uruguay,URY,"Population, total",SP.POP.TOTL,3426260
United States,USA,"Population, total",SP.POP.TOTL,331893745
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,34915100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,104332
Venezuela,VEN,"Population, total",SP.POP.TOTL,28199867
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31122
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,105870
Vietnam,VNM,"Population, total",SP.POP.TOTL,97468029
Vanuatu,VUT,"Population, total",SP.POP.TOTL,319137
World,WLD,"Population, total",SP.POP.TOTL,7888408686
Samoa,WSM,"Population, total",SP.POP.TOTL,218764
Kosovo (Disputed Territory),XKX,"Population, total",SP.POP.TOTL,1786038
Yemen,YEM,"Population, total",SP.POP.TOTL,32981641
South Africa,ZAF,"Population, total",SP.POP.TOTL,59392255
Zambia,ZMB,"Population, total",SP.POP.TOTL,19473125
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15993524
