country,unesco_props,safety_index,quality_of_life,total_population,code,GDP,pop_0_14_%,pop_0_14_%_female,pop_0_14_%_male,pop_15_64_%,pop_15_64_%_female,pop_15_64_%_male,pop_65_plus_%,pop_65_plus_%_female,pop_65_plus_%_male,continent,female_population,male_population,average_cost_rich,average_cost_medium,average_cost_lower,cost_average,meals,market,transports,telecommunications,accomodation
Chad,2.0,,35.8,17179740.0,TCD,15.84,47.65942034,47.16096847,48.15398103,50.32025514,50.62299196,50.01988165,2.020324522,2.216039578,1.826137324,Africa,8556210.0,8623530.0,,,141.31999999999996,141.31999999999996,21.416666666666668,4.565,2.4899999999999998,37.585,20.54768866839702
Chile,7.0,46.0,78.0,19493184.0,CHL,264.1,18.45695351,17.97451825,18.94652637,68.86190402,68.1200801,69.61470318,12.68114248,13.90540165,11.43877045,South America,9818163.0,9675022.0,506.5651290733421,383.6418748538012,354.2128222222223,414.8066087164552,20.54789444444444,2.880895652173913,2.381943540669856,12.633166666666668,11.996957285175572
China,56.0,70.6,53.7,1412360000.0,CHN,10360.0,17.66807221,16.76199637,18.53655418,69.18217451,68.53930421,69.79837156,13.14975327,14.69869942,11.66507426,Asia,691219627.0,721140373.0,428.8897389062646,260.2393787970566,239.90435750571328,309.67782506967814,12.520523866290114,4.051008624261043,2.8995378759422032,6.014379126607204,9.670116007873295
Colombia,9.0,42.3,67.4,51516562.0,COL,400.1,21.59597432,20.88088608,22.33036621,69.68431919,69.53499345,69.83767595,8.71970649,9.584120466,7.831957843,South America,26101321.0,25415242.0,239.32155735785952,193.19396491228068,162.9552597840756,198.4902606847386,9.766194871794873,2.1547909698996657,2.1418910256410255,11.433653846153849,5.458352695957715
Comoros,0.0,,47.5,821625.0,COM,0.72,38.26335721,37.93628377,38.58743455,57.43285718,57.41002268,57.45548251,4.303785605,4.653693548,3.957082939,Africa,408923.0,412703.0,,,,,,3.3700000000000006,,,
Congo,1.0,,35.6,,COD,32.67,46.5250082,46.07922399,46.97776773,50.51259478,50.68965087,50.33276825,2.962397011,3.231125141,2.68946402,Africa,48319268.0,47574851.0,1353.6966666666667,888.4699999999999,697.9066666666666,980.0244444444444,30.013333333333335,4.333958333333333,2.7308333333333334,91.45666666666668,28.16977144046172
Cook Islands,0.0,,,,COK,0.18,,,,,,,,,,Oceania,,,,,197.21,197.21,29.929999999999996,9.620000000000001,,0.64,5.478857968919407
Costa Rica,4.0,46.1,75.8,5153957.0,CRI,50.46,20.54845432,20.12192375,20.97440185,68.92125798,68.55263791,69.28937416,10.5302877,11.32543833,9.736223995,North America,2575216.0,2578741.0,522.2950000000001,350.79,293.74499999999995,388.9433333333333,21.081666666666667,5.008749999999999,3.165,24.5075,10.792128002102704
Croatia,10.0,75.9,70.1,3899000.0,HRV,57.18,14.13753309,13.38797775,14.92744639,63.89154992,61.41810994,66.49816615,21.97091698,25.19391231,18.57438747,Europe,2000607.0,1898394.0,448.355064935065,304.56227158806104,278.84802916381864,343.92178856231493,20.42060606060606,2.991309523809524,5.585389610389611,11.946833333333332,9.833507117664386
Cuba,9.0,69.1,54.7,11256372.0,CUB,77.15,15.79940607,15.1788547,16.4286014,68.53025253,67.76053032,69.31069658,15.6703414,17.06061498,14.26070202,North America,5667114.0,5589258.0,591.3315277777778,394.5039087301588,241.69777777777776,409.17773809523806,18.006349206349206,3.495694444444444,2.583333333333333,74.1,9.674573709629728
Curacao,,,,152369.0,CUW,5.6,17.40246299,16.36977112,18.52501617,68.01899778,66.48778962,69.68344645,14.57853923,17.14243925,11.79153737,North America,79361.0,73008.0,798.4599999999999,528.8499999999999,478.21,601.84,49.35333333333333,5.74,16.52,29.735,15.409534448204488
Cyprus,3.0,67.9,74.5,1244188.0,CYP,21.34,15.98170855,15.5543139,16.4076485,69.53780297,68.74661351,70.3262995,14.48048848,15.69907259,13.266052,Asia,621034.0,623154.0,814.6628571428572,577.5080952380953,547.3328571428572,646.5012698412698,30.261428571428567,3.2471428571428573,9.276666666666667,16.748571428571427,19.33727277420808
Czech Republic,16.0,74.5,78.0,10505772.0,CZE,205.6,16.00294384,15.38195482,16.64287452,63.54446811,61.26973587,65.88858515,20.45258804,23.34830931,17.46854033,Europe,5331795.0,5173976.0,612.5897327935222,484.8262901717507,459.3131822612086,518.9097350754938,18.66634834834835,2.887625,4.897923423423423,9.302236842105268,15.760618566003462
Denmark,10.0,73.4,84.2,5856733.0,DNK,347.2,16.16515413,15.65446732,16.68108897,63.56611929,62.61023863,64.53182298,20.26872658,21.73529405,18.78708806,Europe,2943337.0,2913397.0,1214.498,783.95075,747.137,915.19525,48.39066666666667,5.042750000000001,12.55875,17.1805,27.65987120938331
Djibouti,0.0,,34.7,1105557.0,DJI,1.58,30.77067452,30.20674838,31.34259019,64.733856,64.87442223,64.59129826,4.49546948,4.91882939,4.066111547,Africa,556667.0,548890.0,1010.135,645.5849999999999,598.6,751.4399999999999,34.64666666666667,3.0675000000000003,4.68,18.6625,22.85491342773598
Dominica,1.0,,65.8,72412.0,DMA,0.51,19.86259278,19.54334259,20.18479724,70.81926463,70.15093613,71.49377766,9.318142586,10.30572128,8.321425103,North America,36373.0,36039.0,570.13,328.88000000000005,253.59,384.2,27.399999999999995,4.952500000000001,9.840000000000002,32.535,9.556953707658442
Dominican Republic,1.0,39.1,64.9,11117873.0,DOM,64.05,27.35962052,26.93420827,27.78148349,65.4722596,65.32059469,65.62265914,7.168119875,7.745197041,6.595857368,North America,5535650.0,5582224.0,473.5434848484848,280.8723333333334,216.76672727272728,323.72751515151515,21.59777777777778,3.935871212121212,6.924166666666667,26.566000000000003,8.470512862634294
Ecuador,5.0,42.8,66.9,17797737.0,ECU,100.5,26.09764376,25.52153387,26.67531392,66.26028354,66.10940362,66.41157208,7.642072697,8.369062505,6.913114,South America,8910903.0,8886835.0,452.3434523809525,298.85607864357866,246.3080844155844,332.5025384800385,15.823809523809524,3.9224431818181817,2.5473931623931625,20.422922077922085,9.37912737786247
Egypt,7.0,53.4,51.2,109262178.0,EGY,284.9,33.05096954,32.63422479,33.45822411,62.17448577,61.78102263,62.5589889,4.774544695,5.584752578,3.982786988,Africa,54001891.0,55260287.0,158.60472587719298,88.35514369256475,72.28095238095239,106.41360731690338,8.637460317460317,2.711159147869674,0.8766587301587303,6.265142857142857,2.883117176462857
